Package,Name,Version,Architecture
com.peterdev.nothanks,BoardBanner13 (iOS 12~13),2.1.2,iphoneos-arm
com.peterdev.powerguard,PowerGuard,2.0.3,iphoneos-arm
com.peterdev.xeon,Xeon Lite,1.1.3,iphoneos-arm
com.pixelomer.shijima-ios,Shijima (Shimeji for iOS),1.3.3,iphoneos-arm64
com.pixelomer.shijima-ios-demo,Shijima Demo (Shimeji for iOS),1.0.3-demo,iphoneos-arm64
com.pliskin.drawios,Draw iOS,1.3.4,iphoneos-arm64
com.polytweaks.aerial2,Aerial 2,1.0.3,iphoneos-arm
com.pordiosero,Kraf,1.2,iphoneos-arm64
com.purdix.muze4,Muze 4,1.04,iphoneos-arm64
com.ra9stuff.LiNUZE,LiNUZE,1.0,iphoneos-arm
com.raff.notifillpro,NotiFill Pro,1.3.2,iphoneos-arm
com.reo.mystery,Reo,3.1.2,iphoneos-arm64
com.rosiepie.flora,Flora,1.1.3,iphoneos-arm64
com.rowandesign.3Dworld,3Dworld,1.1.0,iphoneos-arm64
com.rowandesign.morandi,Morandi,1.1.0,iphoneos-arm64
com.ryannair05.apolloapi,ApolloAPI,1.0.2,iphoneos-arm64
com.ryannair05.snoverlay,Snoverlay 2,1.0.1,iphoneos-arm
com.ryannair05.textyle,Textyle 2,1.0.1,iphoneos-arm
com.ryannair05.textyle3,Textyle 3,1.0.1,iphoneos-arm64
com.ryant453.groups,Groups,1.4.1,iphoneos-arm
com.Sami.Snatureios13,Snature,3.2,iphoneos-arm64
com.sergy.immortalizer,Immortalizer,2.0.0-1,iphoneos-arm64
com.sergy.replyactions,ReplyActions,2.5.0,iphoneos-arm64
com.sharedroutine.ohw2,OneHandWizard 2,1.0.6,iphoneos-arm
com.shaun.relic,Relic,1.0.1,iphoneos-arm64
com.smokin1337.3dtools,3DTools,1.0.6,iphoneos-arm
com.smokin1337.adaptivedarkmode,AdaptiveDarkMode,1.0.1,iphoneos-arm
com.smokin1337.dndswitch,DnDSwitch,1.0.5,iphoneos-arm
com.smokin1337.powerreach,PowerReach,1.0.0,iphoneos-arm
com.smokin1337.satellite,Satellite,1.0.4,iphoneos-arm
com.smokin1337.smarterlpm,SmarterLPM,1.0.9,iphoneos-arm
com.smokin1337.xedgeprotect,XEdgeProtect,1.0.6,iphoneos-arm
com.snail.airdrop16.global,AirDrop16,1.0.4,iphoneos-arm64
com.snail.always120.global,Always120,1.2.0,iphoneos-arm64
com.snail.autovpn.global,AutoVPN,1.0.8,iphoneos-arm64
com.snail.callsilent.global,CallSilent,1.0.5,iphoneos-arm64
com.snail.killyourapps.global,KillYourApps 2,2.0.4,iphoneos-arm64
com.spark.libsparkapplist,libSparkAppList,1.0.10,iphoneos-arm
com.spark.libsparkcolourpicker,libsparkcolourpicker,1.0.2,iphoneos-arm
com.springtomize.st4.new,Springtomize 4,4.1.0,iphoneos-arm
com.springtomize.st5,Springtomize 5,5.2.6,iphoneos-arm
com.squidforce.copyvault,CopyVault,1.9.0,iphoneos-arm64
com.squidforce.squidextender,SquidExtender,3.7.4,iphoneos-arm64
com.stevsarm.gateau,Gateau,1.60,iphoneos-arm64
com.stevsarm.harvest,Harvest,1.1.1,iphoneos-arm64
com.stevsarm.taffy,Taffy,1.0,iphoneos-arm64
com.sugiuta.canvaslife,CanvasLife,1.0.1,iphoneos-arm
com.sugiuta.circleapps,CircleApps,1.0.3,iphoneos-arm
com.sugiuta.circleapps15,CircleApps15,1.0.2,iphoneos-arm64
com.sugiuta.mochi15,Mochi15,1.0.3,iphoneos-arm64
com.sugiuta.rena,Rena,1.0.1,iphoneos-arm64
com.sugiuta.winpass,WinPass,1.0.0,iphoneos-arm
com.synnyg.backupaz3,BackupAZ 3 (iOS 10 - 13),1.9,iphoneos-arm
com.synnyg.backupaz4,BackupAZ 4 (iOS 12 - 14),2.0,iphoneos-arm
com.synnyg.backupaz4-activator,BackupAZ 4 - Activator,1.0.0,iphoneos-arm
com.synnyg.flowic,Flowic,3.0,iphoneos-arm
com.synnyg.reversenotifications,ReverseNotifications,1.0,iphoneos-arm
com.synnyg.sphere,Sphere,2.0.2,iphoneos-arm
com.synnyg.springsounds,SpringSounds,2.1,iphoneos-arm
com.synnyg.switchus,Switchus,2.1.2,iphoneos-arm
com.synnyg.vibrato,Vibrato,2.2,iphoneos-arm
com.tako3s.printemps,Printemps,1.1.0,iphoneos-arm
com.tapsharp.jumper,Jumper,3.1.0,iphoneos-arm64
com.tapsharp.libtapsharp,libTapSharp,1.0.5,iphoneos-arm
com.tapsharp.support,Tapsharp Support,1.1.0,iphoneos-arm64
com.tapsharp.switcher,Switcher,1.1.5,iphoneos-arm
com.thenatis.lollipop,Lollipop,1.3,iphoneos-arm64
com.thenatis.ripple,Ripple,1.0,iphoneos-arm64
com.thenatis.shimmer,Shimmer,1.3,iphoneos-arm64
