Package,Name,Version,Architecture
pro.ikghd.pmp,PMP,1.12,iphoneos-arm64
sezo.datamanager,Data Manager,1.0.7,iphoneos-arm64
sezo.flare,Flare for Signal,1.1.0,iphoneos-arm64
sezo.nyx,Nyx for Instagram,1.3.0,iphoneos-arm64
topme.ios.fakegps,定位修改大师(Fake GPS)-模拟地理位置，虚拟地图天下任我行,4.0.1,iphoneos-arm64
tw.hiraku.datalogoswitcher,Data Logo Switcher,4.0.5,iphoneos-arm64
tw.hiraku.keyboardaccio,Keyboard Accio,2.4.6,iphoneos-arm64
twitter.nowesr1.location-spoofer,WALocationSpoofer,0.0.4,iphoneos-arm64
twitter.nowesr1.photosplus,PhotosPlus,0.0.1,iphoneos-arm64
twitter.nowesr1.waignorecalls,WAIgnoreCalls,1.2,iphoneos-arm64
u.blanxd.iponcc,IPonCC,1.6,iphoneos-arm64
u.blanxd.opensshcc,OpenSSH CC Toggle,1.1.0,iphoneos-arm64
u.blanxd.opensshport,OpenSSH Settings,1.1.0,iphoneos-arm64
u.blanxd.sshswitch,SSHswitch,1.1.0,iphoneos-arm64
xc.lzsxcl.o2,o2 Pro,5.1-1,iphoneos-arm64
